CLUB_NBR,CLUB_NAME,MARKET_AREA_NBR,MARKET_AREA_NAME,REGION_NBR,REGION_NAME
6419,"TRAVERSE CITY, MI",45,MICHIGAN,11,NORTH CENTRAL
8251,"SAINT CHARLES, MO",3,ST. LOUIS,11,NORTH CENTRAL
6364,"NAPLES, FL",19,S. FLORIDA,7,SOUTHEAST
8259,"AUSTIN, TX",61,N. HOUSTON / AUSTIN,4,SOUTH CENTRAL
8239,"LAWTON, OK",97,OK / N. TX,4,SOUTH CENTRAL
6235,"SAN DIEGO(E),CA",54,LOS ANGELES / SAN DIEGO,9,WESTERN
4738,"EAGAN, MN",23,MINNESOTA,9,WESTERN
4936,"MORGANTOWN, WV",24,PITTSBURGH / W. PA,1,NORTHEAST
4963,"CHILLICOTHE, OH",81,WEST VIRGINIA/OHIO,1,NORTHEAST
4761,"NORMAN, OK",97,OK / N. TX,4,SOUTH CENTRAL
8227,"SAN ANTONIO (NW), TX",8,SAN ANTONIO/BORDER,4,SOUTH CENTRAL
6317,"NORTH CANTON, OH",31,CLEVELAND,1,NORTHEAST
4769,"HOUSTON(WESTPARK), TX",52,S. HOUSTON,4,SOUTH CENTRAL
6568,"AMES, IA",39,NE / IA,11,NORTH CENTRAL
4740,"SOUTHAVEN, MS",90,MEMPHIS/AL,4,SOUTH CENTRAL
4998,"THE VILLAGES, FL",7,ORLANDO,7,SOUTHEAST
4920,"SAINT JOSEPH, MO",39,NE / IA,11,NORTH CENTRAL
6308,"COLUMBUS(W),OH",81,WEST VIRGINIA/OHIO,1,NORTHEAST
6549,"PUEBLO, CO",56,CO,9,WESTERN
6339,"CRYSTAL LAKE, IL",32,WISCONSIN,11,NORTH CENTRAL
8221,"HARVEY, LA",1,NEW ORLEANS / GULF COAST,4,SOUTH CENTRAL
6343,"RICHMOND(NW),VA",33,VIRGINIA,1,NORTHEAST
6201,"KINGSTON, NY",20,UPSTATE NEW YORK,1,NORTHEAST
6454,"SOUTHFIELD, MI",62,DETROIT,11,NORTH CENTRAL
6444,"EVANSTON, IL",17,CHICAGO,11,NORTH CENTRAL
6417,"HOLLAND, MI",45,MICHIGAN,11,NORTH CENTRAL
6257,"LAS VEGAS(C),NV",41,NEVADA / N CALIFORNIA,9,WESTERN
6474,"MAPLEWOOD, MO",3,ST. LOUIS,11,NORTH CENTRAL
8147,"LOVELAND, CO",94,BIG SKY / CO,9,WESTERN
6324,"MILWAUKEE(N),WI",32,WISCONSIN,11,NORTH CENTRAL
8112,"CHATTANOOGA, TN",28,TENNESSEE,7,SOUTHEAST
6556,"ST CLAIRSVILLE, OH",81,WEST VIRGINIA/OHIO,1,NORTHEAST
7676,AMARILLO TX,47,W. TEXAS / NEW MEXICO,9,WESTERN
8246,"STAFFORD, TX",52,S. HOUSTON,4,SOUTH CENTRAL
6275,WICHITA KS,21,KANSAS CITY,11,NORTH CENTRAL
8295,"TEXARKANA, TX",91,N. LA / TX,4,SOUTH CENTRAL
4917,MOORESVILLE NC,50,NORTH CAROLINA,7,SOUTHEAST
